Participant No,speaker,start,end,duration,text
4,Silence,00:03:52.438,00:03:53.250,00:00:00.812,silence
4,Participant,00:03:53.250,00:03:54.250,00:00:01.000,how was your day
4,Silence,00:03:54.250,00:03:55.723,00:00:01.473,silence
4,Furhat,00:03:55.723,00:03:58.797,00:00:03.074,no match 1st
4,Overlap,00:03:56.750,00:03:57.390,00:00:00.640,overlap
4,Participant,00:03:56.750,00:03:57.390,00:00:00.640,i know
4,Silence,00:03:58.797,00:03:58.847,00:00:00.050,silence
4,Participant,00:03:58.847,00:04:00.422,00:00:01.575,eh no thank you
4,DF,00:03:58.990,00:03:59.360,00:00:00.370,FP
4,Silence,00:04:00.422,00:04:01.859,00:00:01.437,silence
4,Furhat,00:04:01.859,00:04:04.710,00:00:02.851,goodbye
4,Participant,00:04:03.322,00:04:03.960,00:00:00.638,i know
4,Overlap,00:04:03.322,00:04:03.960,00:00:00.638,overlap
4,Silence,00:04:04.710,00:04:05.293,00:00:00.583,silence
4,Participant,00:04:05.293,00:04:06.249,00:00:00.956,thank you
5,Furhat,00:00:00.431,00:00:02.401,00:00:01.970,greeting
5,Silence,00:00:02.401,00:00:03.337,00:00:00.936,silence
5,DF,00:00:03.312,00:00:04.022,00:00:00.710,REP
5,Participant,00:00:03.337,00:00:05.331,00:00:01.994,wi- with what can you help me with
5,Silence,00:00:05.331,00:00:06.394,00:00:01.063,silence
5,Furhat,00:00:06.394,00:00:09.490,00:00:03.096,no match 1st
5,Silence,00:00:09.490,00:00:10.316,00:00:00.826,silence
5,DF,00:00:10.310,00:00:11.150,00:00:00.840,REP
5,Participant,00:00:10.316,00:00:15.409,00:00:05.093,what are what are my options what eh what what do you what can you help me with
5,DF,00:00:12.325,00:00:12.710,00:00:00.385,FP
5,DF,00:00:12.710,00:00:14.530,00:00:01.820,SUB
5,Silence,00:00:15.409,00:00:17.138,00:00:01.729,silence
5,Furhat,00:00:17.138,00:00:22.552,00:00:05.414,give options
5,Silence,00:00:22.552,00:00:23.041,00:00:00.489,silence
5,Participant,00:00:23.041,00:00:25.313,00:00:02.272,yeah for sure let's start with resumes
5,Silence,00:00:25.313,00:00:26.655,00:00:01.342,silence
5,Furhat,00:00:26.655,00:00:32.440,00:00:05.785,ask education
5,Silence,00:00:32.440,00:00:33.080,00:00:00.640,silence
5,DF,00:00:33.080,00:00:33.240,00:00:00.160,FP
5,Participant,00:00:33.080,00:00:41.577,00:00:08.497,eh currently my highest level of education is eh a bachelors degree that i finished but i am doing right now my masters
5,DF,00:00:36.630,00:00:36.930,00:00:00.300,FP
5,Silence,00:00:41.577,00:00:42.890,00:00:01.313,silence
5,Furhat,00:00:42.890,00:00:44.507,00:00:01.617,ask positions
5,Silence,00:00:44.507,00:00:45.402,00:00:00.895,silence
5,DF,00:00:45.400,00:00:46.050,00:00:00.650,FP
5,Participant,00:00:45.402,00:00:52.468,00:00:07.066,ehm i've worked in two jobs so far ehm both as a working student in software engineering 
5,DF,00:00:48.481,00:00:48.910,00:00:00.429,FP
5,Silence,00:00:52.468,00:00:53.992,00:00:01.524,silence
